time,Counter,lat,lon,height,DepthCm,sdn,sde,sdu,sdne,sdeu,sdun,age,ratio,lat_std,lon_std,height_std,Q,ns,BattVolts
2024-12-04 22:04:47.627,100007,71.336871357,-156.563464359,-1.384,1.499,0.0024,0.0024,0.0067,0.0008,0.0003,0.0024,0.45,33.79,2.0934e-07,2.815e-07,0.0031,1,34,13.38
2024-12-04 22:05:30.188,100008,71.336688727,-156.563496873,-1.184,-0.271,0.0025,0.0024,0.0067,0.001,0.0009,0.0025,0.45,51.82,3.902e-08,4.8171e-07,0.0039,1,34,13.37
2024-12-04 22:05:31.873,100009,71.336688748,-156.563496622,-1.176,-0.271,0.0024,0.0024,0.0066,0.0008,0.0005,0.0024,0.45,57.11,6.782e-08,2.1371e-07,0.003,1,34,13.36
2024-12-04 22:05:33.382,100010,71.336688583,-156.563496364,-1.188,-0.328,0.0024,0.0024,0.0066,0.0008,0.0005,0.0024,0.45,61.85,5.039e-08,4.847e-08,0.0038,1,34,13.36
2024-12-04 22:05:43.080,100011,71.336688274,-156.563500873,-1.144,119.7,0.0025,0.0024,0.0068,0.0009,0.0008,0.0025,0.45,96.79,5.911e-07,4.4785e-07,0.0049,1,34,13.36
2024-12-04 22:05:44.054,100012,71.336688089,-156.563500794,-1.138,119.5,0.0025,0.0024,0.0067,0.001,0.001,0.0025,0.45,100.2,9.634e-08,1.5153e-07,0.0025,1,34,13.36
2024-12-04 22:05:45.180,100013,71.336688057,-156.563500494,-1.142,119.6,0.0025,0.0024,0.0067,0.001,0.0009,0.0025,0.45,103.56,9.212e-08,5.82e-08,0.0041,1,34,13.36
2024-12-04 22:06:00.784,100014,71.336687332,-156.563494658,-1.56,18.63,0.0024,0.0024,0.0066,0.0008,0.0005,0.0024,0.45,17.51,2.886e-08,9.703e-08,0.0026,1,34,13.36
2024-12-04 22:06:15.100,100015,71.336686524,-156.563499789,-1.578,19.26,0.0025,0.0024,0.0071,0.001,0.001,0.0026,0.46,23.1,7.142e-08,1.0919e-07,0.0021,1,34,13.36
2024-12-04 22:06:31.663,100016,71.336686648,-156.563494263,-1.54,15.83,0.0025,0.0024,0.0071,0.001,0.001,0.0026,0.45,15.92,7.368e-08,1.1637e-07,0.0023,1,34,13.36
2024-12-04 22:06:44.066,100017,71.336684756,-156.563499385,-1.563,18.46,0.0025,0.0024,0.007,0.001,0.0011,0.0027,0.45,13.35,7.495e-08,2.0192e-07,0.004,1,35,13.36
2024-12-04 22:06:50.605,100018,71.336683938,-156.563502314,-1.551,17.83,0.0025,0.0025,0.0068,0.0009,0.0011,0.0026,0.45,8.31,1.3926e-07,2.3706e-07,0.001,1,35,13.36
2024-12-04 22:06:54.699,100019,71.336683337,-156.5635088,-1.524,15.21,0.0025,0.0024,0.0068,0.0009,0.001,0.0026,0.45,9.16,1.0993e-07,2.0488e-07,0.0048,1,35,13.36
2024-12-04 22:06:57.869,100020,71.336683357,-156.563515998,-1.57,18.92,0.0025,0.0024,0.007,0.001,0.0011,0.0027,0.45,11.0,5.442e-08,2.1947e-07,0.0036,1,35,13.36
2024-12-04 22:07:01.453,100021,71.336681419,-156.563519274,-1.556,17.89,0.0025,0.0024,0.007,0.0008,0.001,0.0026,0.45,10.08,5.627e-08,3.2762e-07,0.0014,1,35,13.35
2024-12-04 22:07:06.087,100022,71.336680778,-156.563526684,-1.462,8.64,0.0024,0.0024,0.0066,0.0008,0.0006,0.0025,0.45,9.09,5.861e-08,1.2461e-07,0.0026,1,35,13.36
2024-12-04 22:07:10.019,100023,71.336680193,-156.563533156,-1.546,16.69,0.0025,0.0024,0.007,0.0009,0.001,0.0027,0.45,8.38,5.269e-08,2.2167e-07,0.0039,1,35,13.36
2024-12-04 22:07:14.239,100024,71.336679732,-156.563542371,-1.559,18.06,0.0025,0.0024,0.0069,0.0008,0.0009,0.0026,0.45,7.74,6.233e-08,2.9949e-07,0.0035,1,35,13.36
2024-12-04 22:07:17.910,100025,71.336678943,-156.56354952,-1.567,18.92,0.0025,0.0024,0.0067,0.0009,0.001,0.0026,0.45,7.25,8.352e-08,2.5746e-07,0.0033,1,35,13.36
2024-12-04 22:07:21.962,100026,71.336677846,-156.563551701,-1.546,17.66,0.0025,0.0024,0.0067,0.0009,0.001,0.0026,0.45,6.79,4.993e-08,2.45e-07,0.0028,1,35,13.35
2024-12-04 22:07:25.846,100027,71.336676773,-156.563557493,-1.542,17.2,0.0025,0.0024,0.0068,0.0009,0.0011,0.0026,0.45,6.39,8.082e-08,1.3482e-07,0.0021,1,35,13.35
2024-12-04 22:07:29.634,100028,71.336675762,-156.563564223,-1.546,17.32,0.0025,0.0024,0.007,0.001,0.0012,0.0027,0.45,6.04,6.354e-08,2.6005e-07,0.0062,1,35,13.36
2024-12-04 22:07:33.714,100029,71.336674985,-156.563571573,-1.506,14.52,0.0025,0.0024,0.0067,0.0009,0.0011,0.0026,0.45,5.72,1.0328e-07,2.9565e-07,0.0029,1,35,13.35
2024-12-04 22:07:37.519,100030,71.336673788,-156.563574327,-1.559,19.03,0.0025,0.0024,0.0067,0.0009,0.0011,0.0026,0.45,5.47,3.747e-08,2.2258e-07,0.0023,1,35,13.36
2024-12-04 22:07:41.337,100031,71.336672851,-156.563579713,-1.463,10.24,0.0024,0.0024,0.0069,0.0008,0.0009,0.0026,0.45,5.2,1.1555e-07,1.9853e-07,0.0024,1,35,13.36
