------------------------------------------------------------------------------
File Creation Date/Time: 24 Dec 2024 19:52:32
Block Name: ExtEvent1 (SBF)

TOW [s],WNc [w],Source,Polarity,Offset [s],Offset_TOW,RxClkBias [s],PVTAge [s]
------------------------------------------------------------------------------
337069.312,2343,EventA,rising edge event,0.0010,337069.312967,-0.000052269,0
338584.715,2343,EventA,rising edge event,0.0005,338584.715485,0.000000901,0
338687.627,2343,EventA,rising edge event,0.0008,338687.627797,0.000003669,0
338726.507,2343,EventB,rising edge event,0.0006,338726.507601,0.000004701,0
338727.851,2343,EventB,rising edge event,0.0001,338727.851133,0.000004737,0
338730.188,2343,EventA,rising edge event,0.0001,338730.188142,0.000004799,0
338731.873,2343,EventA,rising edge event,0.0001,338731.873139,0.000004844,0
338733.382,2343,EventA,rising edge event,0.0005,338733.382548,0.000004884,0
338743.080,2343,EventA,rising edge event,0.0009,338743.080859,0.000005145,0
338744.054,2343,EventA,rising edge event,0.0002,338744.054164,0.000005170,0
338745.180,2343,EventA,rising edge event,0.0001,338745.180109,0.000005198,0
338760.784,2343,EventA,rising edge event,0.0010,338760.784969,0.000005598,0
338775.100,2343,EventA,rising edge event,0.0007,338775.100657,0.000005968,1
338780.069,2343,EventB,rising edge event,0.0010,338780.069975,0.000006100,0
338791.663,2343,EventA,rising edge event,0.0005,338791.663486,0.000006411,0
338804.066,2343,EventA,rising edge event,0.0009,338804.066915,0.000006749,0
338810.605,2343,EventA,rising edge event,0.0005,338810.605468,0.000006929,0
338814.699,2343,EventA,rising edge event,0.0006,338814.699604,0.000007042,0
338817.869,2343,EventA,rising edge event,0.0005,338817.869490,0.000007130,0
338821.453,2343,EventA,rising edge event,0.0002,338821.453243,0.000007229,0
338826.087,2343,EventA,rising edge event,0.0008,338826.087765,0.000007358,0
338830.019,2343,EventA,rising edge event,0.0001,338830.019103,0.000007465,0
338834.239,2343,EventA,rising edge event,0.0005,338834.239451,0.000007581,0
338837.910,2343,EventA,rising edge event,0.0001,338837.910077,0.000007681,0
338841.962,2343,EventA,rising edge event,0.0006,338841.962616,0.000007791,0
338845.846,2343,EventA,rising edge event,0.0008,338845.846756,0.000007895,0
338849.634,2343,EventA,rising edge event,0.0009,338849.634887,0.000007997,0
338853.714,2343,EventA,rising edge event,0.0002,338853.714220,0.000008111,0
338857.519,2343,EventA,rising edge event,0.0005,338857.519540,0.000008216,0
338857.736,2343,EventA,rising edge event,0.0002,338857.736244,0.000008222,0
338861.337,2343,EventA,rising edge event,0.0006,338861.337551,0.000008321,0
338866.340,2343,EventA,rising edge event,0.0004,338866.340390,0.000008456,0
338870.579,2343,EventA,rising edge event,0.0008,338870.579806,0.000008569,0
338876.824,2343,EventA,rising edge event,0.0007,338876.824728,0.000008733,0
338882.581,2343,EventA,rising edge event,0.0000,338882.581037,0.000008884,0
338888.474,2343,EventA,rising edge event,0.0008,338888.474817,0.000009042,0
338892.468,2343,EventA,rising edge event,0.0001,338892.468090,0.000009147,0
338897.116,2343,EventA,rising edge event,0.0000,338897.116011,0.000009270,0
338900.724,2343,EventA,rising edge event,0.0001,338900.724085,0.000009363,0
338905.242,2343,EventA,rising edge event,0.0004,338905.242367,0.000009479,0
338909.241,2343,EventA,rising edge event,0.0004,338909.241404,0.000009581,0
338913.008,2343,EventA,rising edge event,0.0009,338913.008912,0.000009682,0
338918.473,2343,EventA,rising edge event,0.0003,338918.473342,0.000009816,0
338923.679,2343,EventA,rising edge event,0.0006,338923.679640,0.000009947,0
338927.800,2343,EventA,rising edge event,0.0008,338927.800821,0.000010048,1
338932.799,2343,EventA,rising edge event,0.0007,338932.799716,0.000010170,0
338938.330,2343,EventA,rising edge event,0.0003,338938.330317,0.000010305,0
338942.958,2343,EventA,rising edge event,0.0002,338942.958218,0.000010417,0
338947.535,2343,EventA,rising edge event,0.0005,338947.535522,0.000010533,0
338953.037,2343,EventA,rising edge event,0.0010,338953.037955,0.000010667,0
338957.712,2343,EventA,rising edge event,0.0010,338957.712995,0.000010781,0
338962.744,2343,EventA,rising edge event,0.0009,338962.744902,0.000010901,0
338966.534,2343,EventA,rising edge event,0.0005,338966.534482,0.000010993,0
338971.038,2343,EventA,rising edge event,0.0006,338971.038620,0.000011102,0
338975.250,2343,EventA,rising edge event,0.0008,338975.250840,0.000011202,0
338979.474,2343,EventA,rising edge event,0.0006,338979.474628,0.000011303,0
338983.114,2343,EventA,rising edge event,0.0003,338983.114286,0.000011389,0
338986.416,2343,EventA,rising edge event,0.0005,338986.416526,0.000011468,0
338989.941,2343,EventA,rising edge event,0.0010,338989.941961,0.000011551,0
338994.282,2343,EventA,rising edge event,0.0002,338994.282178,0.000011652,0
338999.228,2343,EventA,rising edge event,0.0002,338999.228221,0.000011766,0
339004.233,2343,EventA,rising edge event,0.0001,339004.233052,0.000011886,0
339007.755,2343,EventA,rising edge event,0.0005,339007.755487,0.000011971,0
339011.169,2343,EventA,rising edge event,0.0000,339011.169033,0.000012053,0
339014.168,2343,EventA,rising edge event,0.0008,339014.168825,0.000012123,0
339014.412,2343,EventA,rising edge event,0.0005,339014.412533,0.000012129,0
339017.732,2343,EventA,rising edge event,0.0010,339017.732969,0.000012209,0
339020.506,2343,EventA,rising edge event,0.0003,339020.506306,0.000012276,0
339025.652,2343,EventA,rising edge event,0.0002,339025.652172,0.000012399,0
339030.023,2343,EventA,rising edge event,0.0001,339030.023065,0.000012503,0
339035.565,2343,EventA,rising edge event,0.0000,339035.565026,0.000012636,0
339039.718,2343,EventA,rising edge event,0.0005,339039.718454,0.000012732,0
339043.674,2343,EventA,rising edge event,0.0009,339043.674909,0.000012823,0
339048.569,2343,EventA,rising edge event,0.0001,339048.569080,0.000012937,0
339052.450,2343,EventA,rising edge event,0.0009,339052.450934,0.000013031,0
339056.109,2343,EventA,rising edge event,0.0005,339056.109524,0.000013116,0
339059.945,2343,EventA,rising edge event,0.0009,339059.945931,0.000013206,0
339063.931,2343,EventA,rising edge event,0.0005,339063.931548,0.000013299,0
339068.995,2343,EventA,rising edge event,0.0001,339068.995087,0.000013418,0
339072.782,2343,EventA,rising edge event,0.0007,339072.782661,0.000013506,0
339080.247,2343,EventA,rising edge event,0.0009,339080.247872,0.000013680,0
339084.496,2343,EventA,rising edge event,0.0008,339084.496786,0.000013779,0
339088.790,2343,EventA,rising edge event,0.0010,339088.790991,0.000013877,0
339092.924,2343,EventA,rising edge event,0.0008,339092.924844,0.000013974,0
339097.156,2343,EventA,rising edge event,0.0005,339097.156542,0.000014073,0
339101.459,2343,EventA,rising edge event,0.0005,339101.459521,0.000014173,0
339105.951,2343,EventA,rising edge event,0.0007,339105.951741,0.000014275,0
339109.785,2343,EventA,rising edge event,0.0004,339109.785409,0.000014364,0
339114.890,2343,EventA,rising edge event,0.0003,339114.890293,0.000014482,0
339119.493,2343,EventA,rising edge event,0.0004,339119.493434,0.000014588,0
339123.315,2343,EventA,rising edge event,0.0007,339123.315665,0.000014678,0
339129.109,2343,EventA,rising edge event,0.0003,339129.109335,0.000014811,0
339133.417,2343,EventA,rising edge event,0.0006,339133.417556,0.000014912,0
339137.096,2343,EventA,rising edge event,0.0001,339137.096064,0.000014998,0
339140.554,2343,EventA,rising edge event,0.0010,339140.554955,0.000015078,0
339144.192,2343,EventA,rising edge event,0.0002,339144.192178,0.000015163,0
339147.240,2343,EventA,rising edge event,0.0009,339147.240934,0.000015234,0
339151.121,2343,EventA,rising edge event,0.0009,339151.121907,0.000015324,0
339154.539,2343,EventA,rising edge event,0.0002,339154.539249,0.000015403,0
339158.100,2343,EventA,rising edge event,0.0006,339158.100566,0.000015488,1
339161.532,2343,EventA,rising edge event,0.0001,339161.532143,0.000015568,0
339165.526,2343,EventA,rising edge event,0.0010,339165.526966,0.000015664,0
339169.487,2343,EventA,rising edge event,0.0008,339169.487828,0.000015756,0
339173.450,2343,EventA,rising edge event,0.0010,339173.450955,0.000015848,0
339178.010,2343,EventA,rising edge event,0.0005,339178.010539,0.000015955,0
339181.911,2343,EventA,rising edge event,0.0005,339181.911540,0.000016047,0
339185.751,2343,EventA,rising edge event,0.0003,339185.751265,0.000016140,0
339189.958,2343,EventA,rising edge event,0.0006,339189.958599,0.000016242,0
339193.933,2343,EventA,rising edge event,0.0001,339193.933145,0.000016338,0
339197.364,2343,EventA,rising edge event,0.0009,339197.364904,0.000016421,0
339201.303,2343,EventA,rising edge event,0.0008,339201.303763,0.000016515,0
339204.797,2343,EventA,rising edge event,0.0002,339204.797202,0.000016600,0
339208.410,2343,EventA,rising edge event,0.0008,339208.410776,0.000016687,0
339212.289,2343,EventA,rising edge event,0.0003,339212.289271,0.000016781,0
339216.100,2343,EventA,rising edge event,0.0009,339216.100948,0.000016870,1
339219.761,2343,EventA,rising edge event,0.0004,339219.761428,0.000016956,0
339223.546,2343,EventA,rising edge event,0.0009,339223.546941,0.000017044,0
339226.914,2343,EventA,rising edge event,0.0003,339226.914316,0.000017126,0
339231.648,2343,EventA,rising edge event,0.0002,339231.648245,0.000017238,0
339235.111,2343,EventA,rising edge event,0.0000,339235.111039,0.000017318,0
339239.032,2343,EventA,rising edge event,0.0005,339239.032478,0.000017408,0
339243.755,2343,EventA,rising edge event,0.0007,339243.755681,0.000017519,0
339248.575,2343,EventA,rising edge event,0.0006,339248.575605,0.000017632,0
339253.550,2343,EventA,rising edge event,0.0004,339253.550432,0.000017750,0
339256.406,2343,EventA,rising edge event,0.0003,339256.406304,0.000017818,0
339260.424,2343,EventA,rising edge event,0.0009,339260.424863,0.000017910,0
339265.935,2343,EventA,rising edge event,0.0004,339265.935376,0.000018038,0
339270.465,2343,EventA,rising edge event,0.0007,339270.465684,0.000018144,0
339275.463,2343,EventA,rising edge event,0.0001,339275.463057,0.000018260,0
339280.483,2343,EventA,rising edge event,0.0000,339280.483022,0.000018379,0
339289.583,2343,EventA,rising edge event,0.0002,339289.583197,0.000018596,0
339295.031,2343,EventA,rising edge event,0.0001,339295.031106,0.000018726,0
339298.985,2343,EventA,rising edge event,0.0000,339298.985044,0.000018821,0
339302.742,2343,EventA,rising edge event,0.0007,339302.742723,0.000018910,0
339307.758,2343,EventA,rising edge event,0.0010,339307.758986,0.000019030,0
339316.935,2343,EventA,rising edge event,0.0005,339316.935540,0.000019259,0
339320.707,2343,EventA,rising edge event,0.0005,339320.707541,0.000019351,0
339325.023,2343,EventA,rising edge event,0.0008,339325.023769,0.000019458,0
339329.772,2343,EventA,rising edge event,0.0003,339329.772300,0.000019575,0
339333.405,2343,EventA,rising edge event,0.0006,339333.405615,0.000019665,0
339338.702,2343,EventA,rising edge event,0.0007,339338.702674,0.000019795,0
339343.102,2343,EventA,rising edge event,0.0001,339343.102127,0.000019904,1
339347.854,2343,EventA,rising edge event,0.0008,339347.854834,0.000020020,0
339351.976,2343,EventA,rising edge event,0.0009,339351.976855,0.000020121,0
339355.863,2343,EventA,rising edge event,0.0007,339355.863736,0.000020215,0
339359.529,2343,EventA,rising edge event,0.0001,339359.529054,0.000020306,0
339364.940,2343,EventA,rising edge event,0.0001,339364.940085,0.000020438,0
339368.998,2343,EventA,rising edge event,0.0008,339368.998837,0.000020534,0
339373.773,2343,EventA,rising edge event,0.0001,339373.773120,0.000020645,0
339378.356,2343,EventA,rising edge event,0.0006,339378.356621,0.000020753,0
339383.024,2343,EventA,rising edge event,0.0002,339383.024213,0.000020864,0
339389.357,2343,EventA,rising edge event,0.0008,339389.357805,0.000021011,0
339394.546,2343,EventA,rising edge event,0.0007,339394.546738,0.000021132,0
339399.492,2343,EventA,rising edge event,0.0004,339399.492393,0.000021247,0
339403.266,2343,EventA,rising edge event,0.0003,339403.266289,0.000021335,0
339407.303,2343,EventA,rising edge event,0.0008,339407.303762,0.000021427,0
339412.084,2343,EventA,rising edge event,0.0007,339412.084708,0.000021536,0
339417.450,2343,EventA,rising edge event,0.0003,339417.450308,0.000021660,0
339422.039,2343,EventA,rising edge event,0.0008,339422.039839,0.000021767,0
339426.846,2343,EventA,rising edge event,0.0004,339426.846405,0.000021877,0
339431.449,2343,EventA,rising edge event,0.0009,339431.449880,0.000021983,0
339437.204,2343,EventA,rising edge event,0.0009,339437.204854,0.000022114,0
339441.925,2343,EventA,rising edge event,0.0005,339441.925545,0.000022223,0
339447.156,2343,EventA,rising edge event,0.0002,339447.156176,0.000022341,0
339452.638,2343,EventA,rising edge event,0.0001,339452.638077,0.000022465,0
339457.056,2343,EventA,rising edge event,0.0001,339457.056072,0.000022567,0
339462.947,2343,EventA,rising edge event,0.0008,339462.947752,0.000022703,0
339467.723,2343,EventA,rising edge event,0.0004,339467.723410,0.000022810,0
339471.879,2343,EventA,rising edge event,0.0007,339471.879671,0.000022905,0
339476.578,2343,EventA,rising edge event,0.0008,339476.578840,0.000023012,0
339482.223,2343,EventA,rising edge event,0.0006,339482.223626,0.000023136,0
339488.342,2343,EventA,rising edge event,0.0003,339488.342337,0.000023271,0
339494.533,2343,EventA,rising edge event,0.0005,339494.533485,0.000023409,0
339498.674,2343,EventA,rising edge event,0.0006,339498.674577,0.000023498,0
339502.262,2343,EventA,rising edge event,0.0002,339502.262202,0.000023575,0
339506.232,2343,EventA,rising edge event,0.0005,339506.232517,0.000023660,0
339510.536,2343,EventA,rising edge event,0.0001,339510.536089,0.000023754,0
339514.652,2343,EventA,rising edge event,0.0006,339514.652588,0.000023842,0
339518.847,2343,EventA,rising edge event,0.0001,339518.847067,0.000023931,0
339523.540,2343,EventA,rising edge event,0.0005,339523.540467,0.000024032,0
339527.832,2343,EventA,rising edge event,0.0004,339527.832381,0.000024123,0
339531.820,2343,EventA,rising edge event,0.0003,339531.820290,0.000024207,0
339536.784,2343,EventA,rising edge event,0.0001,339536.784092,0.000024312,0
339546.099,2343,EventA,rising edge event,0.0004,339546.099419,0.000024510,0
339550.976,2343,EventA,rising edge event,0.0001,339550.976140,0.000024613,0
339556.376,2343,EventA,rising edge event,0.0006,339556.376598,0.000024726,0
339561.178,2343,EventA,rising edge event,0.0001,339561.178101,0.000024827,0
339565.694,2343,EventA,rising edge event,0.0008,339565.694792,0.000024921,0
339569.136,2343,EventA,rising edge event,0.0008,339569.136841,0.000024994,0
339572.438,2343,EventA,rising edge event,0.0006,339572.438620,0.000025063,0
339577.920,2343,EventA,rising edge event,0.0007,339577.920710,0.000025179,0
339582.422,2343,EventA,rising edge event,0.0004,339582.422359,0.000025272,0
339586.662,2343,EventA,rising edge event,0.0001,339586.662063,0.000025359,0
339591.559,2343,EventA,rising edge event,0.0008,339591.559761,0.000025460,0
339597.528,2343,EventA,rising edge event,0.0007,339597.528702,0.000025584,0
339602.974,2343,EventA,rising edge event,0.0009,339602.974902,0.000025691,0
339608.074,2343,EventA,rising edge event,0.0001,339608.074082,0.000025795,0
339613.457,2343,EventA,rising edge event,0.0006,339613.457566,0.000025905,0
339617.617,2343,EventA,rising edge event,0.0000,339617.617031,0.000025989,0
339622.248,2343,EventA,rising edge event,0.0006,339622.248590,0.000026084,0
339625.741,2343,EventA,rising edge event,0.0007,339625.741666,0.000026156,0
339629.448,2343,EventA,rising edge event,0.0008,339629.448770,0.000026233,0
339635.241,2343,EventA,rising edge event,0.0008,339635.241824,0.000026351,0
339639.838,2343,EventA,rising edge event,0.0006,339639.838585,0.000026445,0
339651.017,2343,EventA,rising edge event,0.0009,339651.017949,0.000026677,0
339658.472,2343,EventA,rising edge event,0.0002,339658.472229,0.000026829,0
339664.885,2343,EventA,rising edge event,0.0006,339664.885637,0.000026964,0
339670.339,2343,EventA,rising edge event,0.0005,339670.339508,0.000027112,0
339679.528,2343,EventA,rising edge event,0.0009,339679.528908,0.000027275,0
339684.011,2343,EventA,rising edge event,0.0008,339684.011815,0.000027368,0
339690.777,2343,EventA,rising edge event,0.0002,339690.777170,0.000027510,0
339695.022,2343,EventA,rising edge event,0.0006,339695.022584,0.000027627,0
